Year,L,T,W,Total,Win%
1999,10,0,6,16,37.5
2000,9,0,7,16,43.75
2001,8,0,10,18,55.56
2002,7,1,10,18,55.56
2003,6,0,10,16,62.5
2004,8,0,10,18,55.56
2005,12,0,8,20,40.0
2006,6,0,10,16,62.5
2007,5,0,12,17,70.59
2008,9,0,10,19,52.63
2009,5,0,11,16,68.75
2010,10,0,9,19,47.37
2011,6,0,11,17,64.71
2012,6,0,10,16,62.5
2013,6,0,10,16,62.5
2014,8,0,9,17,52.94
2015,7,0,11,18,61.11
2016,8,0,11,19,57.89
2017,10,0,7,17,41.18
2018,7,1,8,16,50.0
2019,6,0,10,16,62.5
2020,7,0,10,17,58.82
2021,5,1,12,18,66.67
2022,9,0,8,17,47.06
2023,9,0,9,18,50.0
2024,8,0,10,18,55.56
